name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	description
A'1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'1	SEEG	uV	n/a	2000	n/a	5000	irritative zone
B'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'2	SEEG	uV	n/a	2000	n/a	5000	irritative zone
B'3	SEEG	uV	n/a	2000	n/a	5000	irritative zone
B'4	SEEG	uV	n/a	2000	n/a	5000	irritative zone
B'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B1	SEEG	uV	n/a	2000	n/a	5000	soz
B10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B14	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B2	SEEG	uV	n/a	2000	n/a	5000	soz
B3	SEEG	uV	n/a	2000	n/a	5000	soz
B4	SEEG	uV	n/a	2000	n/a	5000	soz
C'1	SEEG	uV	n/a	2000	n/a	5000	irritative zone
C'2	SEEG	uV	n/a	2000	n/a	5000	irritative zone
C'3	SEEG	uV	n/a	2000	n/a	5000	irritative zone
C'4	SEEG	uV	n/a	2000	n/a	5000	irritative zone
C1	SEEG	uV	n/a	2000	n/a	5000	soz
C2	SEEG	uV	n/a	2000	n/a	5000	soz
C3	SEEG	uV	n/a	2000	n/a	5000	soz
C4	SEEG	uV	n/a	2000	n/a	5000	soz
L1	SEEG	uV	n/a	2000	n/a	5000	irritative zone
L2	SEEG	uV	n/a	2000	n/a	5000	irritative zone
L3	SEEG	uV	n/a	2000	n/a	5000	irritative zone
