name	x	y	z	size	group	material	manufacturer	seizure_onset_zone	anatomical_label
A'1	n/a	n/a	n/a	0.8	A'	Platinum	ALCIS - Temis Health, France	0	amygdala
A'10	n/a	n/a	n/a	0.8	A'	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
A'2	n/a	n/a	n/a	0.8	A'	Platinum	ALCIS - Temis Health, France	0	amygdala
A'3	n/a	n/a	n/a	0.8	A'	Platinum	ALCIS - Temis Health, France	0	amygdala
A'4	n/a	n/a	n/a	0.8	A'	Platinum	ALCIS - Temis Health, France	0	insula/gyrus temporalis superior
A'5	n/a	n/a	n/a	0.8	A'	Platinum	ALCIS - Temis Health, France	0	insula/gyrus temporalis superior
A'6	n/a	n/a	n/a	0.8	A'	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis superior
A'7	n/a	n/a	n/a	0.8	A'	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis superior
A'8	n/a	n/a	n/a	0.8	A'	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
A'9	n/a	n/a	n/a	0.8	A'	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
A1	n/a	n/a	n/a	0.8	A	Platinum	ALCIS - Temis Health, France	0	amygdala
A10	n/a	n/a	n/a	0.8	A	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
A2	n/a	n/a	n/a	0.8	A	Platinum	ALCIS - Temis Health, France	0	amygdala
A3	n/a	n/a	n/a	0.8	A	Platinum	ALCIS - Temis Health, France	0	amygdala
A4	n/a	n/a	n/a	0.8	A	Platinum	ALCIS - Temis Health, France	0	wm
A5	n/a	n/a	n/a	0.8	A	Platinum	ALCIS - Temis Health, France	0	wm
A6	n/a	n/a	n/a	0.8	A	Platinum	ALCIS - Temis Health, France	0	wm
A7	n/a	n/a	n/a	0.8	A	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
A8	n/a	n/a	n/a	0.8	A	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
A9	n/a	n/a	n/a	0.8	A	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
B'1	n/a	n/a	n/a	0.8	B'	Platinum	ALCIS - Temis Health, France	0	hippocampus anterior
B'10	n/a	n/a	n/a	0.8	B'	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
B'2	n/a	n/a	n/a	0.8	B'	Platinum	ALCIS - Temis Health, France	0	hippocampus anterior
B'3	n/a	n/a	n/a	0.8	B'	Platinum	ALCIS - Temis Health, France	0	hippocampus anterior
B'4	n/a	n/a	n/a	0.8	B'	Platinum	ALCIS - Temis Health, France	0	wm
B'5	n/a	n/a	n/a	0.8	B'	Platinum	ALCIS - Temis Health, France	0	wm
B'6	n/a	n/a	n/a	0.8	B'	Platinum	ALCIS - Temis Health, France	0	wm
B'7	n/a	n/a	n/a	0.8	B'	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
B'8	n/a	n/a	n/a	0.8	B'	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
B'9	n/a	n/a	n/a	0.8	B'	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
B1	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	1	hippocampus anterior
B10	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	0	wm
B11	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
B12	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
B13	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
B14	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	0	none
B15	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	0	none
B2	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	1	hippocampus anterior
B3	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	1	hippocampus anterior
B4	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	0	hippocampus anterior
B5	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	0	ventricle
B6	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	0	wm
B7	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	0	wm
B8	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	0	wm
B9	n/a	n/a	n/a	0.8	B	Platinum	ALCIS - Temis Health, France	0	wm
C'1	n/a	n/a	n/a	0.8	C'	Platinum	ALCIS - Temis Health, France	0	hippocampus posterior
C'10	n/a	n/a	n/a	0.8	C'	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
C'2	n/a	n/a	n/a	0.8	C'	Platinum	ALCIS - Temis Health, France	0	hippocampus posterior
C'3	n/a	n/a	n/a	0.8	C'	Platinum	ALCIS - Temis Health, France	0	hippocampus posterior
C'4	n/a	n/a	n/a	0.8	C'	Platinum	ALCIS - Temis Health, France	0	wm
C'5	n/a	n/a	n/a	0.8	C'	Platinum	ALCIS - Temis Health, France	0	wm
C'6	n/a	n/a	n/a	0.8	C'	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
C'7	n/a	n/a	n/a	0.8	C'	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
C'8	n/a	n/a	n/a	0.8	C'	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
C'9	n/a	n/a	n/a	0.8	C'	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
C1	n/a	n/a	n/a	0.8	C	Platinum	ALCIS - Temis Health, France	1	hippocampus posterior
C10	n/a	n/a	n/a	0.8	C	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
C2	n/a	n/a	n/a	0.8	C	Platinum	ALCIS - Temis Health, France	0	hippocampus posterior
C3	n/a	n/a	n/a	0.8	C	Platinum	ALCIS - Temis Health, France	0	hippocampus posterior
C4	n/a	n/a	n/a	0.8	C	Platinum	ALCIS - Temis Health, France	0	wm
C5	n/a	n/a	n/a	0.8	C	Platinum	ALCIS - Temis Health, France	0	wm
C6	n/a	n/a	n/a	0.8	C	Platinum	ALCIS - Temis Health, France	0	wm
C7	n/a	n/a	n/a	0.8	C	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
C8	n/a	n/a	n/a	0.8	C	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
C9	n/a	n/a	n/a	0.8	C	Platinum	ALCIS - Temis Health, France	0	gyrus temporalis medius
