onset	duration	trial_type	sample	segment_id	source_channel	category_id	reviewer_id	anatomy	soz	electrode_type
0.0	3.0	noise	0	y040422	L'10	1	1	wm	0	depth
3.0	3.0	noise	15000	y040423	L'10	1	1	wm	0	depth
6.0	3.0	noise	30000	y040424	L'10	1	1	wm	0	depth
9.0	3.0	noise	45000	y040425	L'10	1	1	wm	0	depth
12.0	3.0	noise	60000	y040426	L'10	1	1	wm	0	depth
15.0	3.0	noise	75000	y040427	L'10	1	1	wm	0	depth
18.0	3.0	noise	90000	y040428	L'10	1	1	wm	0	depth
21.0	3.0	noise	105000	y040429	L'10	1	1	wm	0	depth
24.0	3.0	noise	120000	y040430	L'10	1	1	wm	0	depth
27.0	3.0	noise	135000	y040431	L'10	1	1	wm	0	depth
30.0	3.0	noise	150000	y040432	L'10	1	1	wm	0	depth
33.0	3.0	noise	165000	y040433	L'10	1	1	wm	0	depth
36.0	3.0	noise	180000	y040434	L'10	1	1	wm	0	depth
39.0	3.0	noise	195000	y040435	L'10	1	1	wm	0	depth
42.0	3.0	noise	210000	y040436	L'10	1	1	wm	0	depth
45.0	3.0	noise	225000	y040437	L'10	1	1	wm	0	depth
48.0	3.0	noise	240000	y040438	L'10	1	1	wm	0	depth
51.0	3.0	noise	255000	y040439	L'10	1	1	wm	0	depth
54.0	3.0	noise	270000	y040440	L'10	1	1	wm	0	depth
57.0	3.0	noise	285000	y040441	L'10	1	1	wm	0	depth
60.0	3.0	noise	300000	y040442	L'10	1	1	wm	0	depth
63.0	3.0	noise	315000	y040443	L'10	1	1	wm	0	depth
66.0	3.0	noise	330000	y040444	L'10	1	1	wm	0	depth
69.0	3.0	noise	345000	y040445	L'10	1	1	wm	0	depth
72.0	3.0	noise	360000	y040446	L'10	1	1	wm	0	depth
75.0	3.0	noise	375000	y040447	L'10	1	1	wm	0	depth
78.0	3.0	noise	390000	y040448	L'10	1	1	wm	0	depth
81.0	3.0	noise	405000	y040449	L'10	1	1	wm	0	depth
84.0	3.0	noise	420000	y040450	L'10	1	1	wm	0	depth
87.0	3.0	noise	435000	y040451	L'10	1	1	wm	0	depth
90.0	3.0	noise	450000	y040452	L'10	1	1	wm	0	depth
93.0	3.0	noise	465000	y040453	L'10	1	1	wm	0	depth
96.0	3.0	noise	480000	y040454	L'10	1	1	wm	0	depth
99.0	3.0	noise	495000	y040455	L'10	1	1	wm	0	depth
102.0	3.0	noise	510000	y040456	L'10	1	1	wm	0	depth
105.0	3.0	noise	525000	y040457	L'10	1	1	wm	0	depth
108.0	3.0	noise	540000	y040458	L'10	1	1	wm	0	depth
111.0	3.0	noise	555000	y040459	L'10	1	1	wm	0	depth
114.0	3.0	noise	570000	y040460	L'10	1	1	wm	0	depth
117.0	3.0	noise	585000	y040461	L'10	1	1	wm	0	depth
120.0	3.0	noise	600000	y040462	L'10	1	1	wm	0	depth
123.0	3.0	noise	615000	y040463	L'10	1	1	wm	0	depth
126.0	3.0	noise	630000	y040464	L'10	1	1	wm	0	depth
129.0	3.0	noise	645000	y040465	L'10	1	1	wm	0	depth
132.0	3.0	noise	660000	y040466	L'10	1	1	wm	0	depth
135.0	3.0	noise	675000	y040467	L'10	1	1	wm	0	depth
138.0	3.0	noise	690000	y040468	L'10	1	1	wm	0	depth
141.0	3.0	noise	705000	y040469	L'10	1	1	wm	0	depth
144.0	3.0	noise	720000	y040470	L'10	1	1	wm	0	depth
